name,age,position,team
Matt Gonzalez,32,2B,Atlanta Braves
Tres Barrera,31,C,Washington Nationals
Stephen Wrenn,31,OF,Houston Astros
Errol Robinson,31,2B,Los Angeles Dodgers
Tommy Edman,30,2B,St. Louis Cardinals
Henri Lartigue,30,C,Philadelphia Phillies
J.B. Moss,32,LF,Atlanta Braves
Tyler Ramirez,30,OF,Athletics
Corey Bird,30,CF,Miami Marlins
Ryan Scott,32,LF,Boston Red Sox
Preston Palmeiro,31,2B,Baltimore Orioles
Matt Albanese,30,OF,Minnesota Twins
Jake Noll,31,2B,Washington Nationals
Jordan Zimmerman,31,2B,Los Angeles Angels
Keith Skinner,31,C,New York Yankees
Andrew Knizner,31,C,St. Louis Cardinals
John Sansone,32,2B,Cincinnati Reds
Jacob Robson,31,OF,Detroit Tigers
Nick Zammarelli III,31,1B,Seattle Mariners
Shane Carrier,29,LF,Minnesota Twins
Troy Montgomery,31,RF,Los Angeles Angels
Dalton Blaser,32,1B,New York Yankees
Chris DeVito,31,1B,Kansas City Royals
Tyler Neslony,32,LF,Atlanta Braves
Trey York,31,2B,Milwaukee Brewers
Jarett Rindfleisch,30,C,Miami Marlins
Daniel Pinero,31,3B,Detroit Tigers
Jason Goldstein,31,C,Seattle Mariners
Joey Harris,32,C,Washington Nationals
Michael Barash,31,C,Los Angeles Angels
Tim Lynch,32,1B,New York Yankees
Clark Eagan,30,CF,Pittsburgh Pirates
Matt Fiedler,30,LF,St. Louis Cardinals
Marcus Mooney,32,SS,Atlanta Braves
Vince Fernandez,30,OF,Colorado Rockies
Boomer White,32,3B,San Diego Padres
Zach Remillard,31,2B,Chicago White Sox
David Greer,30,RF,Seattle Mariners
Stephen Smith,31,RF,Arizona Diamondbacks
Paul Panaccione,32,SS,Washington Nationals
Gene Cone,31,RF,New York Mets
Kevin Lachance,31,SS,Los Angeles Dodgers
Danny Hudzina,31,3B,St. Louis Cardinals
Pavin Smith,30,1B,Arizona Diamondbacks
Adam Haseley,29,RF,Philadelphia Phillies
Keston Hiura,29,1B,Milwaukee Brewers
Jake Burger,29,1B,Chicago White Sox
Evan White,29,1B,Seattle Mariners
Logan Warmoth,30,3B,Toronto Blue Jays
Jeren Kendall,30,OF,Los Angeles Dodgers
Stuart Fairchild,29,RF,Cincinnati Reds
Greg Deichmann,30,OF,Athletics
Drew Ellis,30,3B,Arizona Diamondbacks
Gavin Sheets,29,LF,Chicago White Sox
Joe Dunand,30,1B,Miami Marlins
Taylor Walls,29,SS,Tampa Bay Rays
K.J. Harrison,29,1B,Milwaukee Brewers
Luis González,30,RF,Chicago White Sox
Dylan Busby,30,3B,Pittsburgh Pirates
Riley Mahan,30,2B,Miami Marlins
Scott Hurst,29,OF,St. Louis Cardinals
Joey Morgan,29,C,Detroit Tigers
Quinn Brodey,30,RF,New York Mets
Riley Adams,29,C,Toronto Blue Jays
Connor Wong,29,C,Los Angeles Dodgers
Brett Netzer,29,2B,Boston Red Sox
Matt Whatley,30,C,Texas Rangers
Will Toffey,31,3B,Athletics
Jake Scheiner,30,3B,Philadelphia Phillies
Jason Delay,30,C,Pittsburgh Pirates
Michael Gigliotti,30,OF,Kansas City Royals
Kramer Robertson,31,SS,St. Louis Cardinals
Kevin Smith,29,3B,Toronto Blue Jays
Ernie Clement,29,3B,Cleveland Guardians
Cole Freeman,31,2B,Washington Nationals
David Bañuelos,29,C,Seattle Mariners
Matt Winaker,30,1B,New York Mets
Austen Wade,30,OF,Cleveland Guardians
Zach Rutherford,29,3B,Tampa Bay Rays
Jordan Rodgers,30,3B,Atlanta Braves
Dalton Guthrie,30,LF,Philadelphia Phillies
Devin Hairston,29,SS,Milwaukee Brewers
Jonah Todd,30,OF,Los Angeles Angels
Chad Spanberger,30,1B,Colorado Rockies
Jake Adams,30,1B,Houston Astros
Dane Myers,29,CF,Detroit Tigers
Bryce Johnson,30,CF,San Francisco Giants
Mason McCoy,30,2B,Baltimore Orioles
Brock Lundquist,30,LF,Toronto Blue Jays
Mike Rivera,30,C,Cleveland Guardians
Mark Kolozsvary,30,C,Cincinnati Reds
Evan Skoug,30,C,Chicago White Sox
Jared Oliva,30,OF,Pittsburgh Pirates
Chase Pinder,29,CF,St. Louis Cardinals
Ben Breazeale,31,C,Baltimore Orioles
Tim Susnara,29,C,Arizona Diamondbacks
Bret Boswell,31,SS,Colorado Rockies
Jared Barnes,30,C,Miami Marlins
Corey Julks,29,LF,Houston Astros
Billy Cooke,30,OF,Seattle Mariners
Kacy Clemens,31,1B,Toronto Blue Jays
Rylan Bannon,29,3B,Los Angeles Dodgers
Mark Contreras,31,LF,Minnesota Twins
Riley Delgado,30,3B,Atlanta Braves
Camden Duzenack,30,2B,Arizona Diamondbacks
Jack Zoellner,31,3B,Philadelphia Phillies
Dallas Carroll,31,3B,Milwaukee Brewers
Sean Bouchard,29,RF,Colorado Rockies
Michael Papierski,29,1B,Houston Astros
Luke Burch,31,CF,Detroit Tigers
T.J. Nichting,31,RF,Baltimore Orioles
Tanner Gardner,30,OF,Texas Rangers
Chris Carrier,30,OF,Chicago Cubs
Jack Meggs,30,OF,Athletics
Austin Bernard,29,C,Colorado Rockies
Garrett McCain,29,OF,Detroit Tigers
Rob Calabrese,30,C,San Francisco Giants
Zach Reks,32,LF,Los Angeles Dodgers
Jordan Wren,31,OF,Boston Red Sox
