Name,Season,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,
Trevor Brown,2016,24,SFG,NL,0.1,75,184,173,17,41,7,0,5,19,0,1,10,39,0.237,0.283,0.364,0.647,74,0.296,79,63,2,1,0,0,0,2H/D5,,
Jacob Wilson,2021,30,2TM,AL,-0.1,12,21,20,3,3,1,1,0,1,0,0,1,3,0.15,0.19,0.3,0.49,33,0.208,22,6,1,0,0,0,0,/54H7,,
Kris Bryant,2015,23,CHC,NL,5.4,151,650,559,87,154,31,5,26,99,13,4,77,199,0.275,0.369,0.488,0.858,135,0.383,141,273,7,9,0,5,0,*5/789H3D,"AS,MVP-11,ROY-1",
Kris Bryant,2016,24,CHC,NL,7.3,155,699,603,121,176,35,3,39,102,8,5,75,154,0.292,0.385,0.554,0.939,146,0.406,152,334,3,18,0,3,5,579/368D,"AS,MVP-1",
Kris Bryant,2017,25,CHC,NL,5.7,151,665,549,111,162,38,4,29,73,7,5,95,128,0.295,0.409,0.537,0.946,142,0.405,148,295,8,15,0,6,5,*5/9378H,MVP-7,
Hunter Dozier,2016,24,KCR,AL,0,8,21,19,4,4,1,0,0,1,0,0,2,8,0.211,0.286,0.263,0.549,50,0.295,74,5,0,0,0,0,0,/9DH,,
Hunter Dozier,2018,26,KCR,AL,-2.1,102,388,362,36,83,19,4,11,34,2,3,24,109,0.229,0.278,0.395,0.673,82,0.29,77,143,12,1,0,1,0,35/DH9,,
Hunter Dozier,2019,27,KCR,AL,2.7,139,586,523,75,146,29,10,26,84,2,2,55,148,0.279,0.348,0.522,0.87,124,0.362,122,273,9,3,0,5,2,59D/3H,,
Hunter Renfroe,2016,24,SDP,NL,0.4,11,36,35,8,13,3,0,4,14,0,0,1,5,0.371,0.389,0.8,1.189,213,0.492,223,28,1,0,0,0,1,/9H,,
Hunter Renfroe,2017,25,SDP,NL,0.7,122,479,445,51,103,25,1,26,58,3,0,27,140,0.231,0.284,0.467,0.751,96,0.327,98,208,4,6,0,1,1,*9/HD,,
Hunter Renfroe,2018,26,SDP,NL,2.4,117,441,403,53,100,23,1,26,68,2,1,30,109,0.248,0.302,0.504,0.805,120,0.353,125,203,9,3,0,5,2,79H/D,,
Phillip Ervin,2017,24,CIN,NL,0.1,28,64,58,8,15,2,0,3,10,4,1,4,15,0.259,0.317,0.448,0.766,97,0.362,113,26,1,1,1,0,0,H/879,,
Phillip Ervin,2018,25,CIN,NL,-0.5,78,247,218,27,55,10,1,7,31,6,1,20,60,0.252,0.324,0.404,0.728,94,0.322,89,88,5,5,0,4,1,79H/81,,
Phillip Ervin,2019,26,CIN,NL,0.9,94,260,236,30,64,11,7,7,23,4,3,18,63,0.271,0.331,0.466,0.797,100,0.337,97,110,4,4,0,2,0,7H89,,
Aaron Judge,2016,24,NYY,AL,-0.3,27,95,84,10,15,2,0,4,10,0,1,9,42,0.179,0.263,0.345,0.608,61,0.272,60,29,2,1,0,1,0,9/H,,
Aaron Judge,2017,25,NYY,AL,8.1,155,678,542,128,154,24,3,52,114,9,4,127,208,0.284,0.422,0.627,1.049,171,0.435,172,340,15,5,0,4,11,*9D/H,"AS,MVP-2,ROY-1,SS",
Aaron Judge,2018,26,NYY,AL,6,112,498,413,77,115,22,0,27,67,6,3,76,152,0.278,0.392,0.528,0.919,150,0.396,152,218,10,4,0,5,3,9D/H8,"AS,MVP-12",
Jacob Hannemann,2017,26,SEA,AL,-0.4,11,20,20,3,3,0,0,1,1,0,1,0,4,0.15,0.15,0.3,0.45,19,0.153,-4,6,0,0,0,0,0,/8H7D,,
Stuart Turner,2017,25,CIN,NL,-1.2,37,89,82,4,11,3,0,2,7,0,0,5,22,0.134,0.182,0.244,0.426,10,0.187,-10,20,5,0,1,1,0,2H,,
JaCoby Jones,2016,24,DET,AL,-0.1,13,28,28,3,6,3,0,0,2,0,0,0,12,0.214,0.214,0.321,0.536,42,0.228,27,9,1,0,0,0,0,/58HD,,
