Name,Season,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,,
Stuart Fairchild,2022,26,3TM,2LG,0.7,46,110,97,14,24,4,1,5,6,0,2,8,34,0.247,0.336,0.464,0.8,118,0.346,122,45,1,5,0,0,0,78/H9,,,
Stuart Fairchild,2023,27,CIN,NL,0.4,97,255,219,34,50,16,2,5,28,10,3,25,69,0.228,0.321,0.388,0.71,89,0.318,88,85,2,6,3,2,0,798H/D,,,
Greg Deichmann,2021,26,CHC,NL,-0.4,14,31,30,0,4,0,0,0,1,0,0,1,14,0.133,0.161,0.133,0.295,-18,0.135,-36,4,0,0,0,0,0,/9H7,,,
Drew Ellis,2021,25,ARI,NL,-0.7,28,83,69,10,9,2,0,1,5,0,0,10,27,0.13,0.277,0.203,0.48,34,0.231,31,14,1,4,0,0,1,5/H4,,,
Drew Ellis,2022,26,2TM,2LG,-0.3,7,17,16,2,3,1,0,0,1,0,0,1,7,0.188,0.235,0.25,0.485,39,0.22,33,4,0,0,0,0,0,/5,,,
Drew Ellis,2023,27,PHI,NL,0.2,12,29,23,4,5,0,0,2,4,0,1,6,7,0.217,0.379,0.478,0.858,133,0.381,153,11,0,0,0,0,0,/35H,,,
Charles Leblanc,2022,26,MIA,NL,0.7,48,169,156,18,41,10,0,4,11,4,2,12,53,0.263,0.32,0.404,0.723,103,0.328,108,63,0,1,0,0,0,45/3HD,,,
Charles Leblanc,2024,28,LAA,AL,0.1,11,28,21,6,4,0,0,2,6,0,0,7,9,0.19,0.393,0.476,0.869,145,0.378,144,10,0,0,0,0,0,/543D,,,
Joshua Palacios,2021,25,TOR,AL,-0.1,13,42,35,7,7,0,0,0,4,0,0,3,11,0.2,0.293,0.2,0.493,38,0.236,35,7,0,2,1,1,0,/978DH,,,
Joshua Palacios,2022,26,WSN,NL,-0.2,29,49,47,8,10,2,0,0,2,1,0,1,15,0.213,0.245,0.255,0.5,45,0.228,38,12,0,1,0,0,0,H9/7D,,,
Joshua Palacios,2023,27,PIT,NL,-0.2,91,264,247,26,59,9,2,10,40,5,0,12,56,0.239,0.279,0.413,0.692,85,0.3,78,102,7,2,2,1,0,9H78/D,,,
Brian Serven,2022,27,COL,NL,0,62,205,187,19,38,4,1,6,16,0,0,13,44,0.203,0.261,0.332,0.593,59,0.273,57,62,7,2,2,1,0,2/H13D,,,
Brian Serven,2023,28,COL,NL,-0.4,11,23,23,0,3,1,0,0,1,0,0,0,10,0.13,0.13,0.174,0.304,-21,0.132,-48,4,0,0,0,0,0,2/HD,,,
Brian Serven,2024,29,TOR,AL,0.1,28,71,63,6,10,4,0,0,3,0,0,5,22,0.159,0.243,0.222,0.465,34,0.229,38,14,0,2,1,0,0,2/H,,,
Donovan Walton,2019,25,SEA,AL,0,7,19,16,2,3,0,0,0,2,0,1,3,5,0.188,0.316,0.188,0.503,44,0.27,84,3,0,0,0,0,0,/64,,,
Donovan Walton,2020,26,SEA,AL,-0.1,5,14,13,0,2,1,0,0,3,0,1,1,5,0.154,0.214,0.231,0.445,26,0.166,21,3,1,0,0,0,0,/64,,,
Donovan Walton,2021,27,SEA,AL,0,24,69,63,6,13,2,1,2,7,1,0,4,15,0.206,0.254,0.365,0.619,72,0.279,73,23,1,0,2,0,0,4/7H56D,,,
Daniel Johnson,2020,24,CLE,AL,-0.3,5,13,12,0,1,0,0,0,0,0,0,1,5,0.083,0.154,0.083,0.237,-32,0.075,-89,1,0,0,0,0,1,/97H,,,
Daniel Johnson,2021,25,CLE,AL,-0.2,30,81,77,9,17,0,0,4,5,1,0,4,27,0.221,0.259,0.377,0.636,73,0.276,66,29,0,0,0,0,0,9/7HD,,,
Daniel Johnson,2024,28,BAL,AL,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,-127,0,0,0,0,0,0,/9H,,,
Cavan Biggio,2019,24,TOR,AL,3.1,100,430,354,66,83,17,2,16,48,14,0,71,123,0.234,0.364,0.429,0.793,113,0.357,117,152,0,2,0,2,0,4/39DH7,ROY-5,,
Cavan Biggio,2020,25,TOR,AL,2.2,59,265,220,41,55,16,0,8,28,6,0,41,61,0.25,0.375,0.432,0.807,122,0.37,128,95,2,3,0,0,0,495/8H7D,,,
Cavan Biggio,2021,26,TOR,AL,0.2,79,294,250,27,56,10,1,7,27,3,1,37,78,0.224,0.322,0.356,0.678,84,0.298,80,89,4,1,1,4,2,59/34HD7,,,
Nicky Lopez,2019,24,KCR,AL,-0.2,103,402,379,44,91,22,2,2,30,1,1,18,51,0.24,0.276,0.325,0.601,58,0.266,54,123,5,1,4,0,0,46/HD,,,
Nicky Lopez,2020,25,KCR,AL,0.2,56,192,169,15,34,8,0,1,13,0,5,18,41,0.201,0.286,0.266,0.552,51,0.246,50,45,1,2,3,0,0,*4/65H,,,
